naziv,sifra,marka,jedinica_mjere,cijena_za_jedinicu_mjere,maloprodajna_cijena,posebni_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena,barkod,dostupnost
Gelpro steznik zapešće palac 835187,OXY-835187,Identites,,,17.00,NE,,17.00,,nedostupno
Greenland toaletni stolac 811187,OXY-811187,Identites,,,90.00,NE,,90.00,,dostupno
Horizon P5 prijenosni koncentrator kisika - 16 ćelija,OXY-R4110021,Scaleo Medical,,,3120.00,NE,,3120.00,,nedostupno
Horizon P5 prijenosni koncentrator kisika - 8 ćelija,OXY-R4110020,Scaleo Medical,,,2629.73,NE,,2629.73,,nedostupno
Horizon S5 stacionarni koncentrator kisika,R21010,Scaleo Medical,,,742.70,NE,,742.70,,dostupno
Ibiza standard wc povišenje 811089,OXY-811089,Identites,,,55.00,NE,,55.00,,dostupno
Jablotron Nanny BM-02 Monitor Disanja za Bebe,BM-02,Jablotron,,,150.00,NE,,150.00,,dostupno
Jablotron Nanny BM03 Monitor Disanja za Bebe,BM-03,Jablotron,,,190.00,NE,,190.00,,nedostupno
Jastuk za noge 855165,OXY-855165,Identites,,,74.90,NE,,74.90,,nedostupno
Kadica za pranje kose 812025,OXY-812025,Identites,,,50.00,NE,,50.00,,dostupno
Lepu Medical R20 CPAP uređaj,R20,Lepu Medical,,,650.00,NE,,650.00,,dostupno
Lowenstein Joyceeasy nazalna CPAP maska - L,Product_699f2afa-7f66-48d9-a03b-b8a6264f4867-L,Löwenstein,,,99.00,NE,,99.00,,dostupno
Lowenstein Joyceeasy nazalna CPAP maska - M,Product_699f2afa-7f66-48d9-a03b-b8a6264f4867-M,Löwenstein,,,99.00,NE,,99.00,,dostupno
Lowenstein Joyceeasy nazalna CPAP maska - S,Product_699f2afa-7f66-48d9-a03b-b8a6264f4867-S,Löwenstein,,,99.00,NE,,99.00,,dostupno
Löwenstein CARA nazalna CPAP maska - M/L,Product_3a3b9474-895a-49e2-91eb-5b41c0f35b2b-M-L,Löwenstein,,,59.00,NE,,59.00,,dostupno
Löwenstein CARA nazalna CPAP maska - S/M,01MT0177,Löwenstein,,,59.00,NE,,59.00,,dostupno
Löwenstein JOYCEone nazalna CPAP maska,01MT0178,Löwenstein,,,99.00,NE,,99.00,,dostupno
Löwenstein Prisma SMART Plus – automatski CPAP uređaj,Product_4709e908-a599-4e09-a0fd-b694b3729a97,Löwenstein,,,780.00,NE,,780.00,,nedostupno
Mekana okretna stolica za kupanje,812010,Identites,,,239.00,NE,,239.00,,nedostupno
Međunožni jastuk 855060,OXY-855060,Identites,,,29.90,NE,,29.90,,dostupno
Moovy transferna tuš stolica,822011,Identites,,,575.00,NE,,575.00,,nedostupno
Moovy transferna tuš stolica s električnim podizanjem,822013,Identites,,,1130.00,NE,,1130.00,,nedostupno
Naslon za leđa 823039,OXY-823039,Identites,,,65.00,NE,,65.00,,dostupno
"Navlaka za tuširanje, cijela noga",115079.JE,Identites,,,19.90,NE,,19.90,,dostupno
"Navlaka za tuširanje, cijela ruka",115079.BR,Identites,,,16.90,NE,,16.90,,dostupno
"Navlaka za tuširanje, noga do koljena",115079.DEJ,Identites,,,18.90,NE,,18.90,,dostupno
"Navlaka za tuširanje, ruka do lakta",115079.AVB,Identites,,,15.90,NE,,15.90,,dostupno
Neo Fold rolator - Maslinasto zelena,826316VERTS,,,,200.00,NE,,200.00,,nedostupno
Neo Fold rolator - Terakota,826316TERRS,,,,200.00,NE,,200.00,,nedostupno
Neo Fun rolator za sve terene,826025,,,,250.00,NE,,250.00,,nedostupno
